,HOME_LAST_GAME_OE,HOME_LAST_GAME_HOME_WIN_PCTG,HOME_NUM_REST_DAYS,HOME_LAST_GAME_AWAY_WIN_PCTG,HOME_LAST_GAME_TOTAL_WIN_PCTG,HOME_LAST_GAME_ROLLING_SCORING_MARGIN,HOME_LAST_GAME_ROLLING_OE,HOME_W,SEASON,AWAY_LAST_GAME_OE,AWAY_LAST_GAME_HOME_WIN_PCTG,AWAY_NUM_REST_DAYS,AWAY_LAST_GAME_AWAY_WIN_PCTG,AWAY_LAST_GAME_TOTAL_WIN_PCTG,AWAY_LAST_GAME_ROLLING_SCORING_MARGIN,AWAY_LAST_GAME_ROLLING_OE
0,0.6507936507936508,0.775,2.0,0.6097560975609756,0.691358024691358,7.0,0.5810051184992965,1,2022-23,0.5886524822695035,0.5853658536585366,2.0,0.425,0.5061728395061729,10.333333333333334,0.6028850791566481
1,0.6134453781512605,0.6,2.0,0.425,0.5125,12.666666666666666,0.6076853967716482,0,2022-23,0.5486725663716814,0.7073170731707317,1.0,0.5897435897435898,0.65,-13.0,0.5589016371283861
2,0.6065573770491803,0.5897435897435898,1.0,0.425,0.5063291139240507,1.0,0.5928060505377418,1,2022-23,0.6201550387596899,0.46153846153846156,1.0,0.4,0.43037974683544306,-9.333333333333334,0.559394849925565
3,0.6475409836065574,0.5384615384615384,2.0,0.4358974358974359,0.48717948717948717,13.333333333333334,0.6255322703625272,0,2022-23,0.6030534351145038,0.5897435897435898,2.0,0.41025641025641024,0.5,-4.333333333333333,0.581924606014102
4,0.5688073394495413,0.5789473684210527,2.0,0.41025641025641024,0.4935064935064935,-6.333333333333333,0.5792539017472839,1,2022-23,0.6475409836065574,0.5789473684210527,1.0,0.375,0.47435897435897434,2.6666666666666665,0.6081042411773193
5,0.6470588235294118,0.5555555555555556,2.0,0.525,0.5394736842105263,8.333333333333334,0.6065953654188948,1,2022-23,0.5739130434782609,0.5789473684210527,3.0,0.42105263157894735,0.5,3.6666666666666665,0.6153732400410065
6,0.5950413223140496,0.5675675675675675,2.0,0.42105263157894735,0.49333333333333335,2.6666666666666665,0.6251708205895751,1,2022-23,0.5841584158415841,0.7894736842105263,2.0,0.47368421052631576,0.631578947368421,8.333333333333334,0.5881718528995757
7,0.6771653543307087,0.5833333333333334,1.0,0.42105263157894735,0.5,11.333333333333334,0.6370339233617687,0,2022-23,0.6888888888888889,0.8648648648648649,2.0,0.3888888888888889,0.6301369863013698,15.333333333333334,0.6407369588785518
8,0.6033057851239669,0.5714285714285714,3.0,0.42105263157894735,0.4931506849315068,4.333333333333333,0.6130665245497782,1,2022-23,0.5294117647058824,0.5277777777777778,1.0,0.3684210526315789,0.44594594594594594,-9.0,0.5619399112603709
9,0.68,0.5405405405405406,2.0,0.4444444444444444,0.4931506849315068,-5.666666666666667,0.6081690730278301,1,2022-23,0.6306306306306306,0.5714285714285714,1.0,0.43243243243243246,0.5,7.333333333333333,0.6092979295084558
10,0.6052631578947368,0.5588235294117647,2.0,0.43243243243243246,0.49295774647887325,-7.0,0.5806353383458647,1,2022-23,0.5714285714285714,0.23684210526315788,2.0,0.20588235294117646,0.2222222222222222,-17.0,0.5475707210707617
11,0.5263157894736842,0.32432432432432434,2.0,0.18181818181818182,0.2571428571428571,1.0,0.5919859598889851,1,2022-23,0.592,0.5588235294117647,2.0,0.4444444444444444,0.5,-7.333333333333333,0.5827377016922471
12,0.5446428571428571,0.5454545454545454,4.0,0.4444444444444444,0.4927536231884058,-7.666666666666667,0.5699773711137347,1,2022-23,0.616,0.8055555555555556,2.0,0.20588235294117646,0.5142857142857142,4.0,0.5969940319885415
13,0.6115702479338843,0.5625,2.0,0.4444444444444444,0.5,0.0,0.5960320912474023,0,2022-23,0.5968992248062015,0.5555555555555556,3.0,0.4375,0.5,-6.666666666666667,0.5846436939460194
14,0.5537190082644629,0.5806451612903226,1.0,0.4444444444444444,0.5074626865671642,2.3333333333333335,0.6134638573422699,0,2022-23,0.5666666666666667,0.7428571428571429,3.0,0.625,0.6865671641791045,5.333333333333333,0.540395061728395
15,0.6230769230769231,0.4838709677419355,2.0,0.45714285714285713,0.4696969696969697,-2.0,0.6133321134213195,0,2022-23,0.6228070175438597,0.5806451612903226,2.0,0.42857142857142855,0.5,-2.6666666666666665,0.6126914776404085
16,0.6491228070175439,0.5,1.0,0.45714285714285713,0.47692307692307695,-3.6666666666666665,0.5895478517060233,0,2022-23,0.6638655462184874,0.5806451612903226,2.0,0.4117647058823529,0.49230769230769234,2.6666666666666665,0.6186308051257886
17,0.5983606557377049,0.625,2.0,0.42424242424242425,0.5230769230769231,-5.666666666666667,0.5629456154046318,1,2022-23,0.5514018691588785,0.5806451612903226,2.0,0.42424242424242425,0.5,2.3333333333333335,0.5912816836590201
18,0.5904761904761905,0.6129032258064516,1.0,0.42424242424242425,0.515625,-7.666666666666667,0.5447218369548467,1,2022-23,0.640625,0.5806451612903226,1.0,0.4375,0.5079365079365079,5.666666666666667,0.5992214735854117
19,0.5818181818181818,0.5666666666666667,3.0,0.4375,0.5,5.333333333333333,0.5987945610171056,1,2022-23,0.5346534653465347,0.53125,2.0,0.4,0.46774193548387094,-4.0,0.5560777013661958
20,0.5752212389380531,0.5862068965517241,2.0,0.4375,0.5081967213114754,-0.6666666666666666,0.5869279962093643,0,2022-23,0.5294117647058824,0.5185185185185185,2.0,0.42424242424242425,0.4666666666666667,-6.0,0.5385302088315
