,CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID,HOME_FLAG,AWAY_FLAG,HOME_WIN_PCTG,AWAY_WIN_PCTG,TOTAL_WIN_PCTG,ROLLING_SCORING_MARGIN,ROLLING_OE,NUM_REST_DAYS
77,OPPONENTS, Heat,1610612748,0,1,0,0,0,1,2,7,1,5,240,0,43,89,0.483,8,31,0.258,19,20,0.95,12,29,48,30,22,10,16,4,113,48.0,113.0,0,0.5934959349593496,-8.0,2022-23,2023-01-16,0022200661,0,1,0.6086956521739131,0.45454545454545453,0.5333333333333333,4.666666666666667,0.5909225478809409,2.0
78,Toronto,Raptors,1610612761,0,1,0,1,0,0,2,14,1,5,240,0,36,87,0.414,7,29,0.241,24,30,0.8,11,32,57,19,19,9,14,3,103,57.0,103.0,1,0.5045871559633027,-11.0,2022-23,2023-01-14,0022200644,1,0,0.56,0.2777777777777778,0.4418604651162791,3.6666666666666665,0.602910378868187,2.0
79,OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,1,2,1,5,240,0,43,84,0.512,11,27,0.407,17,18,0.944,5,35,42,19,22,6,12,4,114,42.0,114.0,1,0.5636363636363636,11.0,2022-23,2023-01-14,0022200644,0,1,0.55,0.43478260869565216,0.4883720930232558,1.3333333333333333,0.5563260813260813,1.0
80,Indiana,Pacers,1610612754,0,1,0,1,0,0,0,12,1,5,240,0,40,101,0.396,7,30,0.233,24,29,0.828,19,32,63,24,22,8,12,9,111,63.0,111.0,0,0.5423728813559322,-2.0,2022-23,2023-01-13,0022200633,1,0,0.6521739130434783,0.4,0.5348837209302325,-1.0,0.5496434194683709,2.0
81,OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,1,12,1,5,240,0,41,94,0.436,16,33,0.485,15,21,0.714,14,36,62,26,22,6,14,9,113,62.0,113.0,0,0.5583333333333333,2.0,2022-23,2023-01-13,0022200633,0,1,0.55,0.4090909090909091,0.47619047619047616,-1.0,0.5631375589340192,2.0
82,Atlanta,Hawks,1610612737,0,1,0,1,0,0,0,5,1,5,240,0,39,87,0.448,11,30,0.367,16,18,0.889,6,35,46,25,12,5,11,3,105,46.0,105.0,0,0.5470085470085471,-9.0,2022-23,2023-01-11,0022200620,1,0,0.55,0.38095238095238093,0.4634146341463415,-7.0,0.5583597811562414,3.0
83,OPPONENTS, Bucks,1610612749,1,0,0,0,1,0,1,5,1,5,240,0,45,98,0.459,18,48,0.375,6,11,0.545,14,43,62,28,15,6,11,4,114,62.0,114.0,0,0.5934959349593496,9.0,2022-23,2023-01-11,0022200620,0,1,0.7619047619047619,0.55,0.6585365853658537,-5.333333333333333,0.5614498334630621,2.0
84,LA,Clippers,1610612746,0,1,0,1,0,0,0,8,1,5,240,0,37,95,0.389,10,30,0.333,24,31,0.774,21,38,67,25,19,6,11,5,108,67.0,108.0,0,0.5636363636363636,-4.0,2022-23,2023-01-08,0022200604,1,0,0.55,0.45454545454545453,0.5,-16.0,0.5489771860481242,2.0
85,OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,0,4,1,5,240,0,44,89,0.494,8,26,0.308,16,20,0.8,7,36,47,22,18,7,9,9,112,47.0,112.0,0,0.584070796460177,4.0,2022-23,2023-01-08,0022200604,0,1,0.5789473684210527,0.38095238095238093,0.475,-3.0,0.5690060549604099,2.0
86,Los Angeles,Lakers,1610612747,1,0,1,0,0,0,2,6,1,5,240,0,51,93,0.548,16,35,0.457,12,16,0.75,7,44,57,33,18,6,18,5,130,57.0,130.0,0,0.6131386861313869,16.0,2022-23,2023-01-06,0022200590,1,0,0.5555555555555556,0.38095238095238093,0.46153846153846156,8.333333333333334,0.5771991339092392,2.0
87,OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,7,1,5,240,0,44,96,0.458,9,31,0.29,17,22,0.773,7,32,46,24,15,8,12,5,114,46.0,114.0,0,0.544,-16.0,2022-23,2023-01-06,0022200590,0,1,0.5789473684210527,0.35,0.46153846153846156,-5.0,0.5691514702248579,2.0
88,Sacramento,Kings,1610612758,0,1,0,1,0,0,1,2,1,5,240,0,41,88,0.466,10,25,0.4,25,27,0.926,10,32,44,26,19,9,11,3,117,44.0,117.0,0,0.5826086956521739,-3.0,2022-23,2023-01-04,0022200575,1,0,0.5789473684210527,0.5,0.5405405405405406,-3.6666666666666665,0.5580007127583749,1.0
